model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize 
5;2018;14698;1;6442;4;145;54.3;1.0
1;2016;10498;3;29590;4;0;57.7;1.0
2;2018;14495;1;17030;4;145;57.7;1.0
2;2016;8995;1;22493;4;20;60.1;1.0
2;2016;15995;1;29600;1;20;67.3;2.0
6;2016;10995;3;26500;1;125;58.9;2.0
9;2017;19995;1;14000;1;200;44.8;2.0
6;2013;8295;1;34783;1;30;61.4;1.6
2;2015;7995;1;56655;1;20;67.3;1.6
4;2019;19995;1;16000;1;150;47.9;2.0
7;2015;9995;1;30753;1;0;78.5;1.5
10;2018;13495;1;1030;4;145;47.9;1.0
6;2017;12995;1;7817;4;145;55.4;1.0
2;2018;12995;1;9781;4;145;60.1;1.0
5;2018;12998;1;17241;4;145;54.3;1.0
11;2015;10298;1;28309;1;125;58.9;1.6
1;2017;10498;1;50599;4;0;65.7;1.0
2;2018;11298;3;37880;1;150;74.3;1.5
4;2016;10698;1;56888;1;125;60.1;2.0
2;2018;15995;1;10500;4;145;60.1;1.0
13;2014;6995;3;50800;4;160;44.1;1.6
1;2019;13950;1;6700;4;145;58.9;1.0
1;2017;10650;1;31800;4;150;65.7;1.0
1;2016;7995;1;20700;4;125;54.3;1.2
2;2016;11495;1;29900;1;0;74.3;1.5
4;2018;16995;1;32858;1;145;54.3;2.0
1;2018;11995;1;31593;4;145;65.7;1.0
2;2015;10995;1;13791;4;125;51.4;1.5
4;2019;20495;1;12034;1;145;47.9;2.0
2;2018;19995;1;10923;1;145;67.3;2.0
4;2019;19995;1;10171;1;145;38.2;2.0
2;2016;10995;1;30923;1;0;74.3;1.5
5;2019;18995;1;2291;4;145;52.3;1.0
2;2017;11995;1;23469;4;125;51.4;1.5
4;2017;16998;1;13626;1;125;60.1;2.0
1;2016;7398;1;35180;4;125;54.3;1.2
1;2019;11498;1;17708;4;145;58.9;1.0
1;2019;13998;1;9957;4;145;58.9;1.0
2;2019;16698;1;4542;4;145;60.1;1.0
7;2016;9998;1;38358;1;0;78.5;1.5
2;2015;12998;1;25878;1;20;67.3;2.0
5;2016;9998;3;18325;4;160;44.8;1.5
2;2017;12498;1;9338;4;145;60.1;1.0
5;2018;14998;1;7133;1;145;58.9;1.5
2;2017;10498;1;42002;4;20;60.1;1.0
4;2017;16995;2;3700;4;145;38.2;1.5
2;2019;15495;1;5600;4;145;60.1;1.0
1;2015;9495;1;17288;4;0;65.7;1.0
13;2013;5995;1;42996;1;20;70.6;1.6
2;2014;7498;1;47566;4;30;56.5;1.0
1;2017;11798;1;4262;4;0;65.7;1.0
1;2017;10998;1;10125;4;145;65.7;1.0
2;2017;14998;2;17028;4;150;46.3;1.5
1;2017;8998;1;12753;4;145;54.3;1.2
2;2016;13998;1;24895;1;20;67.3;2.0
2;2017;17998;1;9066;4;145;41.5;2.0
1;2019;18998;1;3292;4;145;40.3;1.5
4;2013;9198;3;48130;1;200;45.6;2.0
4;2015;14498;1;27513;1;145;54.3;2.0
2;2017;14998;1;32511;4;150;41.5;2.0
1;2016;8498;1;21888;4;125;54.3;1.2
1;2019;13995;1;11130;4;145;58.9;1.0
2;2017;18498;1;14441;4;145;41.5;2.0
2;2018;13998;1;13401;4;145;60.1;1.0
1;2019;12798;1;10567;4;145;58.9;1.0
1;2019;14698;1;7872;4;145;58.9;1.0
8;2017;7698;1;10641;4;30;57.7;1.2
5;2018;12498;1;10222;4;145;54.3;1.0
1;2017;9998;1;28519;4;20;62.8;1.0
4;2017;13998;1;51772;1;125;60.1;2.0
1;2016;9500;2;7350;4;0;57.7;1.0
8;2018;8195;1;12231;4;145;47.9;1.2
4;2019;21498;2;5354;4;150;31.0;1.5
2;2017;17998;1;19525;4;145;41.5;2.0
5;2018;14498;1;11922;4;145;54.3;1.0
6;2016;9998;1;16984;1;20;68.9;1.5
1;2016;7998;1;16070;4;125;54.3;1.2
2;2018;10998;1;26648;4;145;61.4;1.0
1;2017;10998;1;19140;4;145;62.8;1.0
2;2016;9998;1;26399;1;0;74.3;1.5
1;2013;5498;1;53545;4;30;54.3;1.2
1;2017;9298;1;25491;4;0;65.7;1.0
1;2014;7298;1;31359;4;0;65.7;1.0
2;2016;8498;1;51656;1;0;74.3;1.5
4;2016;17698;3;11221;1;145;54.3;2.0
4;2017;14498;1;23356;1;145;60.1;2.0
5;2018;12898;1;15267;4;145;53.3;1.0
13;2017;7998;1;41294;1;0;74.4;1.5
6;2018;12198;1;7993;4;145;49.6;1.0
5;2017;9698;1;30207;4;145;53.3;1.0
1;2016;8798;1;19815;4;0;65.7;1.0
4;2015;14298;1;43717;1;145;54.3;2.0
2;2018;15798;1;4534;4;145;58.9;1.0
1;2017;10298;1;9148;4;145;65.7;1.0
15;2014;4898;1;22609;4;30;57.7;1.2
2;2016;10298;1;15510;1;0;74.3;1.5
1;2017;9998;1;20347;4;0;65.7;1.0
4;2018;16698;1;3044;4;145;39.2;1.5
1;2017;8998;1;5233;4;125;54.3;1.2
10;2015;8998;1;28359;1;125;60.1;1.6
2;2017;12498;3;12244;4;125;51.4;1.0
1;2018;12498;1;17918;4;145;65.7;1.0
12;2020;34498;3;4623;1;145;43.5;2.0
5;2017;9298;1;16770;4;145;44.8;1.5
2;2017;10900;1;25459;4;145;60.1;1.0
5;2017;9998;1;23913;4;125;53.3;1.0
1;2018;12998;1;9901;4;150;65.7;1.0
2;2016;10998;3;15006;4;125;51.4;1.0
2;2017;15500;1;19593;4;145;41.5;2.0
4;2017;16200;3;23027;1;145;58.9;1.5
6;2016;10500;3;13580;1;20;64.2;1.5
2;2015;13200;1;32000;1;20;67.3;2.0
2;2019;18698;1;15365;4;145;60.1;1.0
2;2019;16998;1;7924;1;145;80.7;1.5
1;2017;9998;1;10721;4;145;65.7;1.0
5;2017;9498;1;25939;4;145;53.3;1.0
1;2019;17498;1;3265;4;145;58.9;1.0
2;2019;15998;2;11045;4;145;41.5;1.0
5;2020;17998;1;250;4;145;51.4;1.0
13;2013;5698;1;44901;4;145;47.1;1.4
2;2017;9998;1;22001;4;20;60.1;1.0
1;2020;17298;1;4563;4;145;54.3;1.0
1;2019;16998;1;12236;4;145;55.4;1.0
4;2019;23998;1;7584;1;145;39.2;2.0
1;2013;6498;1;41599;4;0;65.7;1.0
10;2017;12498;1;10373;4;145;54.3;1.0
1;2013;4998;1;79300;4;0;65.7;1.0
6;2017;11498;1;12982;4;30;55.4;1.0
2;2017;11298;1;24386;1;0;74.3;1.5
5;2017;9298;1;18209;1;30;64.2;1.5
5;2018;12998;1;9796;4;145;54.3;1.0
1;2018;14498;1;9428;4;145;62.8;1.0
16;2016;18498;1;30528;1;125;56.5;2.0
6;2016;8498;1;41772;4;30;55.4;1.0
1;2015;8298;1;15673;4;0;65.7;1.0
2;2015;8498;1;47219;1;0;74.3;1.5
2;2018;12998;1;16081;4;150;57.7;1.0
2;2019;16998;1;10476;4;145;60.1;1.0
1;2016;9998;1;16647;4;0;65.7;1.0
4;2017;13698;1;41457;1;150;54.3;2.0
2;2017;13998;3;4735;4;125;51.4;1.0
5;2016;9498;1;24045;4;125;53.3;1.0
5;2019;15984;1;6500;4;145;51.4;1.0
5;2017;8489;1;60190;4;160;44.8;1.5
1;2017;9995;1;27000;1;0;78.5;1.5
1;2017;8498;1;32538;4;0;65.7;1.0
4;2016;13498;1;36345;1;150;54.3;2.0
2;2016;8998;1;43623;4;20;61.4;1.0
4;2013;9998;3;58500;1;200;45.6;2.0
4;2017;17498;1;15729;1;145;54.3;2.0
1;2018;9998;1;7892;4;145;65.7;1.0
1;2017;11990;1;24725;4;145;47.9;1.6
2;2019;16899;1;7000;1;145;80.7;1.5
5;2019;15984;1;3500;4;145;51.4;1.0
5;2019;15984;1;4500;4;145;51.4;1.0
5;2019;15984;1;4000;4;145;51.4;1.0
5;2019;13998;1;4889;1;145;68.9;1.5
4;2017;17994;1;20633;1;150;54.3;2.0
16;2016;17489;3;47937;1;165;51.4;2.0
4;2018;19899;3;28500;1;145;54.3;2.0
1;2014;4699;1;85000;4;30;54.3;1.2
5;2017;9949;1;23000;4;125;53.3;1.0
6;2017;11498;1;9995;4;145;55.4;1.0
6;2017;10898;1;12626;4;30;55.4;1.0
6;2018;12998;1;7320;4;145;55.4;1.0
6;2019;13498;1;23394;4;145;48.7;1.0
6;2017;9998;1;12932;1;20;68.9;1.5
2;2019;18998;2;22246;1;150;64.2;2.0
1;2019;11798;1;5530;4;150;48.7;1.1
1;2019;11798;1;4590;4;150;48.7;1.1
1;2017;8498;1;28479;4;0;65.7;1.0
4;2013;8998;1;67895;1;200;47.9;2.0
2;2019;14799;1;6249;4;145;60.1;1.0
2;2019;14799;1;8560;4;145;60.1;1.0
17;2020;42489;2;3500;4;145;22.1;5.0
4;2017;17498;1;9940;4;145;45.6;1.5
2;2019;16498;1;4930;4;145;60.1;1.0
2;2018;19698;1;12011;4;145;41.5;2.0
1;2016;8498;1;23053;4;125;54.3;1.2
2;2016;16998;1;17589;4;200;41.5;2.0
2;2019;14998;1;7000;4;145;58.9;1.0
18;2019;19999;1;3500;1;145;61.4;1.5
4;2019;20999;2;5500;1;145;47.9;2.0
2;2019;14998;1;7000;4;145;60.1;1.0
2;2019;14998;1;7000;4;145;58.9;1.0
5;2019;13998;1;5000;1;145;68.9;1.5
4;2017;13898;1;33026;1;145;60.1;2.0
1;2016;11498;1;8560;4;0;65.7;1.0
2;2018;19698;1;16548;4;145;41.5;2.0
2;2017;10498;1;49485;1;0;74.3;1.5
7;2017;17498;3;14569;1;145;53.3;2.0
4;2015;12498;1;60151;1;145;54.3;2.0
2;2017;11498;1;9148;4;145;61.4;1.0
1;2017;10998;1;13548;4;0;65.7;1.0
7;2019;22998;2;7337;3;140;47.1;2.0
1;2015;8498;1;6649;4;125;54.3;1.2
2;2017;11998;1;7690;4;150;60.1;1.0
1;2019;11898;1;3396;4;150;48.7;1.1
1;2019;11498;1;15766;4;145;58.9;1.0
1;2019;13298;1;7349;4;145;58.9;1.0
6;2016;9698;1;36860;1;20;68.9;1.5
5;2018;10498;1;59498;1;145;68.9;1.5
4;2015;10998;1;17367;1;125;60.1;2.0
1;2017;9598;1;14403;4;145;64.2;1.1
2;2019;16998;1;20647;4;145;60.1;1.0
1;2019;13498;1;13351;4;145;58.9;1.0
1;2016;6998;1;34804;4;125;54.3;1.2
4;2017;15498;1;38113;1;125;60.1;2.0
1;2018;9949;1;27399;4;145;64.2;1.1
6;2018;12998;1;2455;1;145;68.9;1.5
14;2016;20799;2;52000;1;200;47.9;2.0
17;2020;38489;2;3500;4;145;30.7;2.3
1;2018;9489;1;35417;4;145;64.2;1.1
1;2019;13949;3;11982;4;145;48.7;1.0
1;2018;10990;1;28138;4;145;56.5;1.0
4;2017;13489;1;34805;1;145;54.3;2.0
2;2015;7994;1;64612;1;20;67.3;1.6
1;2018;11489;1;19665;4;145;60.1;1.0
4;2018;15699;1;17500;1;150;64.2;1.5
2;2020;19998;1;4000;1;145;74.3;1.5
2;2020;19489;1;5000;1;145;74.3;1.5
2;2019;14998;1;7000;4;145;58.9;1.0
5;2016;9199;1;26445;1;30;64.2;1.5
6;2017;10489;1;26445;1;20;68.9;1.5
5;2018;11489;1;2922;1;145;64.2;1.5
17;2018;29998;2;3000;4;145;28.8;2.3
17;2018;31498;2;6250;4;145;23.5;5.0
2;2018;11999;1;6691;4;145;61.4;1.0
18;2018;15990;2;9486;1;145;56.6;1.5
2;2019;16998;2;8703;4;145;40.9;1.5
5;2019;15489;1;5636;1;145;68.9;1.5
12;2019;22489;1;8224;1;145;56.5;2.0
12;2019;22489;1;4000;1;145;56.5;2.0
1;2015;5998;1;55898;1;0;78.5;1.5
2;2017;10998;1;28001;4;145;60.1;1.0
4;2014;11498;1;36052;1;160;47.9;2.0
17;2016;24999;3;42086;4;570;23.5;5.0
4;2017;15298;1;34673;1;125;60.1;2.0
14;2018;19498;1;22068;1;145;48.7;2.0
2;2019;16998;1;19936;4;145;60.1;1.0
18;2017;13998;1;4856;1;145;61.4;1.5
13;2017;11298;3;1397;4;165;44.1;1.6
2;2017;13398;2;21649;4;145;46.3;1.5
2;2017;17798;1;10345;4;145;41.5;2.0
4;2018;14998;1;14960;1;145;64.2;1.5
2;2015;13998;1;35689;4;205;41.5;2.0
5;2017;9189;1;31998;4;145;44.8;1.5
1;2018;10399;1;7200;4;145;65.7;1.0
14;2017;23899;2;27146;1;145;47.9;2.0
1;2013;5330;1;66937;4;30;54.3;1.2
5;2019;15985;1;5099;4;145;51.4;1.0
1;2015;7485;1;11092;4;125;54.3;1.2
4;2019;21999;2;6000;4;145;29.1;1.5
1;2017;10850;1;23634;4;150;65.7;1.0
4;2019;23250;3;9931;1;145;38.7;2.0
1;2016;7999;1;22633;4;0;65.7;1.0
8;2018;7999;1;9355;4;145;57.7;1.2
4;2013;7999;1;78170;1;200;47.9;2.0
2;2016;9699;1;13480;4;20;60.1;1.0
17;2019;39998;2;5000;4;145;22.6;5.0
1;2017;8500;1;15060;4;125;54.3;1.2
1;2016;9998;1;18912;4;0;65.7;1.0
2;2019;15995;1;6992;4;145;60.1;1.0
1;2017;11495;1;17766;4;145;65.7;1.0
1;2019;14698;1;8725;4;145;58.9;1.0
1;2016;9998;1;6820;4;0;65.7;1.0
4;2013;9498;1;29326;1;200;47.9;2.0
1;2017;10698;3;11235;4;0;57.7;1.0
4;2016;13499;1;38687;1;145;54.3;2.0
4;2017;15999;1;15005;1;145;54.3;2.0
4;2017;17299;1;14224;1;145;54.3;2.0
2;2019;14198;1;20205;4;150;58.9;1.0
5;2016;10898;1;13093;4;125;52.3;1.0
1;2019;17298;3;1434;4;150;48.7;1.0
13;2013;5998;3;44582;4;165;44.1;1.6
7;2015;9998;1;55621;1;30;64.2;2.0
8;2017;6998;1;21203;4;30;57.7;1.2
2;2017;16698;1;24498;1;145;67.3;2.0
2;2018;17298;1;3124;4;145;60.1;1.0
4;2017;15498;1;31073;1;125;60.1;2.0
4;2017;14298;1;6345;1;145;54.3;2.0
6;2016;9998;1;26138;1;20;68.9;1.5
4;2019;22998;1;593;1;145;47.9;2.0
2;2018;11598;1;11654;4;145;61.4;1.0
1;2018;10498;1;17532;4;145;65.7;1.0
5;2017;8698;1;36124;4;160;44.8;1.5
2;2017;17498;1;13558;4;200;41.5;2.0
5;2018;12499;1;13000;1;145;67.3;1.5
8;2018;9250;1;7812;4;145;47.9;1.2
2;2017;16250;1;28113;1;145;67.3;2.0
5;2017;9999;1;24130;4;150;52.3;1.0
2;2017;10999;1;23973;4;150;60.1;1.0
4;2019;18494;1;11858;1;145;38.2;2.0
1;2019;13489;3;26799;4;145;48.7;1.0
1;2014;6995;1;35084;4;0;65.7;1.0
1;2018;11995;1;12080;4;150;65.7;1.0
1;2017;10498;1;9621;4;145;65.7;1.0
2;2017;11300;1;13300;4;145;60.1;1.0
1;2018;11800;1;14024;4;145;62.8;1.0
2;2017;10800;1;17668;4;145;60.1;1.0
1;2016;8300;1;43121;4;0;65.7;1.0
2;2018;18499;1;14682;4;145;41.5;2.0
2;2014;6800;1;53500;4;30;56.5;1.0
4;2018;17000;1;15513;4;145;45.6;1.5
1;2017;8998;1;16701;1;0;78.5;1.5
1;2014;5698;1;51892;4;30;54.3;1.2
5;2017;8998;1;20648;4;160;44.8;1.5
4;2016;14998;1;38206;1;145;54.3;2.0
4;2017;18500;1;13692;1;145;54.3;2.0
4;2019;19298;1;12287;4;145;39.2;1.5
4;2014;10798;1;49989;1;160;47.9;2.0
2;2019;15998;1;12699;4;145;60.1;1.0
1;2015;7298;1;36700;4;0;65.7;1.0
5;2017;10298;1;25013;4;150;53.3;1.0
1;2017;10698;1;16505;4;0;65.7;1.0
1;2019;13998;1;5887;4;145;58.9;1.0
4;2013;8298;1;63508;1;145;53.3;2.0
2;2016;8998;1;36087;1;0;74.3;1.5
6;2016;11298;1;11117;4;30;55.4;1.0
10;2016;10498;1;17197;1;30;64.2;1.5
4;2013;8995;1;54000;1;145;53.3;2.0
1;2015;7895;1;27541;4;0;65.7;1.0
2;2018;18390;1;14682;4;145;41.5;2.0
8;2018;7795;1;9662;4;145;57.7;1.2
2;2017;10795;1;22727;4;20;60.1;1.0
2;2019;18298;2;6269;1;145;74.3;1.5
13;2015;7698;1;9708;1;20;70.6;1.6
4;2017;17698;1;18075;1;145;54.3;2.0
4;2017;16998;1;24885;1;145;54.3;2.0
6;2018;12698;1;3074;4;145;55.4;1.0
1;2016;10698;1;22141;1;0;78.5;1.5
4;2013;9998;3;43938;1;205;45.6;2.0
4;2017;14498;1;6038;1;150;54.3;2.0
1;2017;8998;1;20277;4;0;65.7;1.0
6;2017;11998;1;15297;1;20;68.9;1.5
2;2019;14000;1;11426;4;150;58.9;1.0
5;2019;16250;1;2951;4;150;52.3;1.0
1;2017;9700;1;28186;4;0;65.7;1.0
4;2013;9998;1;38629;4;200;42.8;1.6
10;2017;10998;1;14161;1;30;64.2;1.5
16;2016;15498;1;27716;1;125;56.5;2.0
13;2013;5489;1;41144;1;20;68.9;1.5
4;2019;18999;1;9695;1;145;54.3;1.5
1;2016;8449;1;79125;4;145;47.9;1.6
6;2016;8699;1;46040;1;30;61.4;1.6
6;2017;10489;1;37972;1;20;68.9;1.5
4;2017;12489;1;36394;1;145;64.2;1.5
4;2017;13698;1;78636;1;145;64.2;1.5
2;2018;18498;1;21167;1;145;67.3;2.0
13;2015;7298;1;36140;1;0;74.4;1.5
2;2017;9998;1;13861;4;145;60.1;1.0
4;2017;17498;1;22439;1;145;54.3;2.0
12;2017;18999;1;42500;1;125;51.4;2.0
5;2017;9489;1;29500;4;145;52.3;1.0
14;2017;20994;2;41000;1;145;48.7;2.0
6;2018;11998;1;6484;1;145;68.9;1.5
1;2014;6250;1;39223;4;30;54.3;1.2
1;2014;5950;1;64327;1;0;76.4;1.5
2;2017;10900;1;13338;1;0;74.3;1.5
2;2017;11200;1;15121;4;20;58.9;1.0
2;2017;9250;1;38541;4;20;60.1;1.0
1;2018;10300;1;9542;4;145;65.7;1.0
6;2019;13000;1;3629;4;145;49.6;1.0
2;2016;7000;1;82616;1;0;74.3;1.5
1;2015;9200;1;21261;4;0;65.7;1.0
12;2019;24995;1;10023;1;150;54.3;2.0
1;2016;8298;1;22919;4;0;65.7;1.0
6;2017;9298;1;41697;1;20;68.9;1.5
2;2019;16698;1;18697;4;145;60.1;1.0
2;2019;23698;1;5003;1;145;70.6;2.0
2;2019;20398;1;6233;1;145;74.3;1.5
1;2016;9698;1;19884;4;0;65.7;1.0
4;2018;17998;1;13734;4;145;39.2;1.5
1;2019;13698;1;12232;4;145;58.9;1.0
2;2016;9998;1;21243;4;20;60.1;1.0
1;2016;7298;1;31107;4;125;54.3;1.2
2;2013;5698;1;64292;1;20;67.3;1.6
4;2014;8998;1;68055;1;150;53.3;2.0
1;2018;12998;1;23200;4;150;65.7;1.0
7;2016;12498;1;25800;1;30;64.2;2.0
9;2019;20990;1;5100;1;145;31.7;2.0
9;2019;29999;1;100;1;145;30.1;2.0
5;2019;15489;1;5636;1;145;68.9;1.5
2;2019;15998;1;4500;1;145;80.7;1.5
18;2019;19999;1;3500;1;145;61.4;1.5
2;2016;8489;1;61379;1;0;74.3;1.5
1;2018;9490;1;3012;4;145;55.4;1.1
2;2017;12490;1;11292;4;125;51.4;1.5
8;2017;6490;1;19285;4;150;57.7;1.2
2;2016;14790;1;33352;4;205;41.5;2.0
2;2017;12498;1;17998;1;0;74.3;1.5
2;2018;18998;1;11578;1;150;67.3;2.0
2;2015;9598;1;29577;1;20;67.3;1.6
2;2017;10498;1;27704;1;145;74.3;1.5
1;2015;7998;1;19001;4;125;54.3;1.2
10;2016;9998;1;39460;1;30;64.2;1.5
2;2019;16250;1;13325;1;145;74.3;1.5
2;2019;18450;2;14464;1;145;54.3;1.5
2;2018;9950;1;19223;4;145;61.4;1.0
8;2019;9950;1;906;4;145;43.5;1.2
8;2019;9950;1;2520;4;145;43.5;1.2
8;2019;9950;1;1196;4;145;43.5;1.2
1;2015;8498;1;19429;4;0;65.7;1.0
13;2014;5998;1;69078;4;30;57.7;1.0
5;2017;9998;1;37560;4;145;53.3;1.0
2;2016;9998;1;3155;4;20;61.4;1.0
2;2019;16998;1;14206;4;150;60.1;1.0
2;2017;16998;2;30393;1;145;61.4;2.0
4;2014;11198;1;41711;1;145;53.3;2.0
2;2019;14498;1;14316;1;150;80.7;1.5
1;2016;7998;1;21456;4;125;54.3;1.2
1;2016;9998;1;20682;4;0;65.7;1.0
2;2019;17998;1;12027;1;145;74.3;1.5
13;2014;6498;1;36727;1;20;70.6;1.6
4;2019;19998;2;8757;4;145;28.8;1.5
5;2016;8698;1;28670;1;30;64.2;1.5
1;2017;10698;1;21041;1;0;78.5;1.5
5;2018;13698;1;4223;4;145;54.3;1.0
1;2019;13498;1;9007;4;145;58.9;1.0
1;2016;8498;1;11457;4;125;54.3;1.2
1;2014;6298;1;39944;4;30;54.3;1.2
1;2019;11698;1;3578;4;150;48.7;1.1
4;2017;13998;1;21167;1;150;54.3;2.0
1;2016;8498;3;31976;4;145;47.9;1.6
2;2018;13998;1;10149;4;145;57.7;1.0
12;2016;14498;1;50364;1;125;56.5;2.0
1;2018;11950;1;16678;4;145;58.9;1.0
1;2019;11395;1;1394;4;145;55.4;1.1
18;2018;15990;2;9486;1;145;56.6;1.5
